GEOID,DAC_NAME,DAC_NAMELSAD,Pop16,HH16,MHI16,DAC16,Area_sqmi,FID_GSA_in,Basin_Numb,Basin_Subb,Basin_Name,GSA_Name,Area_sqm_1,Area_sqm_i,PercArea
670028,Santa Nella,Santa Nella CDP,1965,606,27778,Y,4.560167916,39,5-022,5-022.07,SAN JOAQUIN VALLEY,San Joaquin River Exchange Contractors Water Authority GSA,399.1274938,1.132597349,0.248367466
672954,South Dos Palos,South Dos Palos CDP,2568,605,41992,Y,1.534711435,39,5-022,5-022.07,SAN JOAQUIN VALLEY,San Joaquin River Exchange Contractors Water Authority GSA,399.1274938,0.58191186,0.379166954
619654,Dos Palos Y,Dos Palos Y CDP,206,97,16656,Y,1.577740167,39,5-022,5-022.07,SAN JOAQUIN VALLEY,San Joaquin River Exchange Contractors Water Authority GSA,399.1274938,1.577740167,1
630882,Grayson,Grayson CDP,990,271,29787,Y,0.222960126,40,5-022,5-022.07,SAN JOAQUIN VALLEY,West Stanislaus Irrigation District GSA,33.78901524,0.18541718,0.831615871
684480,Westley,Westley CDP,707,152,23375,Y,0.361085688,40,5-022,5-022.07,SAN JOAQUIN VALLEY,West Stanislaus Irrigation District GSA,33.78901524,0.361085688,1
607750,Bowles,Bowles CDP,211,47,0,Data Not Available,0.380691826,29,5-022,5-022.08,SAN JOAQUIN VALLEY,Central Kings GSA,236.5566121,0.380682026,0.999974258
618674,Del Rey,Del Rey CDP,1531,403,25809,Y,1.217103024,29,5-022,5-022.08,SAN JOAQUIN VALLEY,Central Kings GSA,236.5566121,0.807549582,0.663501418
611614,Caruthers,Caruthers CDP,2972,727,44649,Y,2.022534763,29,5-022,5-022.08,SAN JOAQUIN VALLEY,Central Kings GSA,236.5566121,2.02251504,0.999990248
670882,Selma,Selma city,24228,6667,41086,Y,5.13791118,29,5-022,5-022.08,SAN JOAQUIN VALLEY,Central Kings GSA,236.5566121,5.13791118,1
648592,Monmouth,Monmouth CDP,155,59,27375,Y,0.308053385,29,5-022,5-022.08,SAN JOAQUIN VALLEY,Central Kings GSA,236.5566121,0.308053385,1
667126,San Joaquin,San Joaquin city,4011,992,24234,Y,1.197375512,24,5-022,5-022.08,SAN JOAQUIN VALLEY,James GSA,45.38193291,1.197375512,1
618450,Delft Colony,Delft Colony CDP,103,29,0,Data Not Available,0.065635584,26,5-022,5-022.08,SAN JOAQUIN VALLEY,Kings River East GSA,298.9436956,0.065635584,1
686734,Yettem,Yettem CDP,353,49,0,Data Not Available,0.153492407,26,5-022,5-022.08,SAN JOAQUIN VALLEY,Kings River East GSA,298.9436956,0.153492407,1
660242,Reedley,Reedley city,25273,7145,43907,Y,5.485712784,26,5-022,5-022.08,SAN JOAQUIN VALLEY,Kings River East GSA,298.9436956,5.457185488,0.99479971
619318,Dinuba,Dinuba city,23465,6102,38008,Y,6.469837098,26,5-022,5-022.08,SAN JOAQUIN VALLEY,Kings River East GSA,298.9436956,6.469837098,1
654008,Orange Cove,Orange Cove city,9566,2191,27782,Y,1.791794325,26,5-022,5-022.08,SAN JOAQUIN VALLEY,Kings River East GSA,298.9436956,1.791794325,1
617708,Cutler,Cutler CDP,5175,1154,29655,Y,0.806934875,26,5-022,5-022.08,SAN JOAQUIN VALLEY,Kings River East GSA,298.9436956,0.806934875,1
620942,East Orosi,East Orosi CDP,785,139,32313,Y,0.24797316,26,5-022,5-022.08,SAN JOAQUIN VALLEY,Kings River East GSA,298.9436956,0.24797316,1
642566,London,London CDP,2084,491,26012,Y,0.629297236,26,5-022,5-022.08,SAN JOAQUIN VALLEY,Kings River East GSA,298.9436956,0.629297236,1
648676,Monson,Monson CDP,294,49,46250,Y,0.500195525,26,5-022,5-022.08,SAN JOAQUIN VALLEY,Kings River East GSA,298.9436956,0.500195525,1
654372,Orosi,Orosi CDP,7711,1970,33293,Y,2.445685438,26,5-022,5-022.08,SAN JOAQUIN VALLEY,Kings River East GSA,298.9436956,2.445685438,1
671078,Seville,Seville CDP,586,114,23000,Y,0.636167234,26,5-022,5-022.08,SAN JOAQUIN VALLEY,Kings River East GSA,298.9436956,0.636167234,1
675672,Sultana,Sultana CDP,1099,257,25486,Y,0.443769889,26,5-022,5-022.08,SAN JOAQUIN VALLEY,Kings River East GSA,298.9436956,0.443769888,1
680280,Traver,Traver CDP,747,197,31094,Y,0.843428519,26,5-022,5-022.08,SAN JOAQUIN VALLEY,Kings River East GSA,298.9436956,0.843428519,1
659290,Raisin City,Raisin City CDP,215,69,0,Data Not Available,0.759525449,23,5-022,5-022.08,SAN JOAQUIN VALLEY,McMullin Area GSA,188.4105984,0.759525449,1
640116,Lanare,Lanare CDP,297,72,0,Data Not Available,2.018441423,25,5-022,5-022.08,SAN JOAQUIN VALLEY,North Fork Kings GSA,262.9735264,2.018441423,1
640746,Laton,Laton CDP,1877,573,27721,Y,1.93723156,25,5-022,5-022.08,SAN JOAQUIN VALLEY,North Fork Kings GSA,262.9735264,1.927601318,0.995028864
661096,Riverdale,Riverdale CDP,3964,970,49100,Y,3.92521847,25,5-022,5-022.08,SAN JOAQUIN VALLEY,North Fork Kings GSA,262.9735264,3.92521847,1
627014,Friant,Friant CDP,468,219,0,Data Not Available,1.301265993,27,5-022,5-022.08,SAN JOAQUIN VALLEY,North Kings GSA,485.5450742,1.105543125,0.849590423
625300,Fort Washington,Fort Washington CDP,737,179,0,Data Not Available,0.124001068,27,5-022,5-022.08,SAN JOAQUIN VALLEY,North Kings GSA,485.5450742,0.124001068,1
627000,Fresno,Fresno city,513807,164077,41842,Y,114.6717276,27,5-022,5-022.08,SAN JOAQUIN VALLEY,North Kings GSA,485.5450742,114.620922,0.999556948
638226,Kerman,Kerman city,14424,3801,42046,Y,3.267207047,27,5-022,5-022.08,SAN JOAQUIN VALLEY,North Kings GSA,485.5450742,3.267207047,1
606728,Biola,Biola CDP,1265,313,34911,Y,0.647028005,27,5-022,5-022.08,SAN JOAQUIN VALLEY,North Kings GSA,485.5450742,0.647028004,1
610032,Calwa,Calwa CDP,1378,384,35000,Y,0.624398026,27,5-022,5-022.08,SAN JOAQUIN VALLEY,North Kings GSA,485.5450742,0.624398026,1
645232,Malaga,Malaga CDP,1246,270,42250,Y,0.273923031,27,5-022,5-022.08,SAN JOAQUIN VALLEY,North Kings GSA,485.5450742,0.273923031,1
646400,Mayfair,Mayfair CDP,4605,1261,46328,Y,0.517545656,27,5-022,5-022.08,SAN JOAQUIN VALLEY,North Kings GSA,485.5450742,0.517545656,1
684680,West Park,West Park CDP,764,208,45526,Y,1.79165579,27,5-022,5-022.08,SAN JOAQUIN VALLEY,North Kings GSA,485.5450742,1.79165579,1
